What is your Vassal handle?,What is your Discord name (User#0000)?,Paste your new YASB Squad link here:,
viedit,viedit#0883,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z113XW45WWWW105W156Y146X138WWW70WWW149W240WY154XWW98W22WW80WWW&sn=Josh%27s%20Dace%20of%20Legend&obs=,
Samuel Melhado,Samuel Melhado#5464,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z17XW97WWW40W316WW110Y41XW88WW110WW93Y69XWWW4W167&sn=Samuel%20Melhado%20JTO&obs=,
Tsukuda Joe,Tsukuda_Joe (#9921),https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z127XW66WWWW160Y111XWWWWY114XWWWWWY111X240WWWWY96X&sn=Joe%20Congdon%20JTO&obs=,
Red Squad Bench Warmer,Red Squad Bench Warmer#5274,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z361X138WWWW69WY317XWWY322XWWW134Y277XWWWY274XWWW&sn=Jay%20Davis%20JTO&obs=yt2400debris0,core2asteroid0,gascloud1",
copperblue74,Copperblue74 #3997,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z212X128WWW236Y164XWWWW139W136WY182XWY207XW234WWWWWWY184XWWW&sn=JON%20FEUCHT%20JTO&obs=gascloud1,gascloud2,gascloud6",
Mr.Moe,Mr.Moe#2766,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z199X124W114WWY211X132W88WWY170XWWY218XW&sn=Moritz%20Gwiasda%20JTO&obs=,
MistbornJedi,MistbornJedi#9486,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z352XW13W134W245W54W205W236Y295XW242W30WW95W103W193Y239X132WWW198&sn=MistbornJedi%20JTO&obs=,
Magne,mega_magnar#1550,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z283XWW134WY386XW234WY381XW177W102W&sn=Magne%20Gudmundsen%20JTO&obs=,
RStan,RStan#1545,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z385X115W202W99WW113WY233XWWY287XWWWY383XWWW&sn=Ryan%20Staniszewski%20JTO&obs=,
RaptorRitter13,RaptorRitter13,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z310X101W208WY307XWWY336XW234WWWWWWY272XWWW217WWWWW&sn=James%20Ritter%20JTO&obs=,
Matt Coggins,Mattcogg,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z240X125WW102W206Y389XW111WW54W86W76W69WW165Y378XWWWWWW315&sn=Matt%20Coggins%20JTO&obs=gascloud1,gascloud3,gascloud5",
Garrett J,Hujoe Bigs #0404,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z249XWY87XW138WWWWWW108Y120XWW93WWWY150XWWWW163WY95XWW&sn=Garrett%20Jost%20JTO&obs=,
Czarcasm,Czarcasm#9120,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z349X132W178W173WY245X124W100WWW187W93WWY260XWWW189WWW69W&sn=Anthony%20Hillen%20JTO&obs=coreasteroid3,coreasteroid4,core2asteroid3",
assistantBKR,assistantBKR (#5451),"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z109XWW66WW166WY91X98W22W53WW92WW152Y152X115W232WW39WWWWW&sn=Be-%20Pr-%20JTO&obs=gascloud3,gascloud4,gascloud6",
AdamN,MrMountie#5916,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z280X136WW225WW165Y340XW136WWWW110Y278XW2W200W&sn=Adam%20Nordquist%20JTO&obs=,
jetsetter,"Ron ""jetsetter"" Brannan","https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z26X118W137W134WWW68W86Y15XY18XW101WW86W52W71WWY47XWW37W109WW&sn=Ron%20Brannan%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Lunar Sovereign,Lunar Sovereign#4318,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z222XW105Y170XW113WY186X26WWY213XWWY189XW138WWWW&sn=Mike%20Maurer%20JTO&obs=,
PaulHeaver,Horngrim,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z166X111WW28WWW162Y206X234WWWWWW166Y191XW234WWWWWWY225XW&sn=Paul%20Heaver%20JTO&obs=,
miguel,Angrypeon#3283,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124XWWWWY113XWW317WW166WW156Y85XW138WWWW317WWY159XWWY248XW&sn=Miguel%20Justiniano%20JTO&obs=,
RebelMando,RebelMando#7114,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z76XW11WWWWY72XW46WWWY17XWWWWW70W71WY56XWWY55XW311W&sn=Eddie%20Preisser%20JTO&obs=,
rhett,Rhett#0001,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z32X130WWWWW140Y52XWWY45XWW58WW107WWY16X&sn=Rhett%20Eldred%20JTO&obs=,
tadpolelights26,tadpolelights26 (Stephen)#5980,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z144XW138W25W90W67WWWY148X132W112WWWY128XWWW109W160&sn=Stephen%20Parker%20JTO&obs=,
tkdstitch,tkdstitch#3467,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z183XW15W60WY168XWWWWW162Y172XWW100Y184X115W27WW&sn=Sean%20Bowman%20(TKDStitch)%20JTO&obs=,
Loud_Whisper,Whisper,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z300XWWWY239X124WWWY297XW190WW175WW171WY252XW197WW175WWW&sn=Nobbie%20JTO&obs=gascloud1,gascloud2,gascloud3",
Brent G,Marhand#0708,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z206XWWW82WWWY214XWW30WWWW316WWY224XWY187XW138WWWW&sn=Brent%20Grelle%20JTO&obs=,
Will,Scooter8709#5600,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z198XWW100Y210X128W82W71WY187XWW100WWWY182XW&sn=William%20Scott%20JTO&obs=gascloud4,gascloud5,gascloud6",
bluerook17,Bohan#2327,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z23XWWW4WY16XY51XWWY31XWWW46WW140Y15X&sn=Joining%20the%20Bodhi%20Boys&obs=,
Carl Tinsley,Carl#9891,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z233X115WW164Y261XWY384X132W206W101WY283XWW234W&sn=Carl%20Tinsley%20JTO&obs=core2asteroid5,gascloud4,gascloud6",
DurAlvar,DurAlvar (Luke)#1106,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167X113W10W26WW164WY190XW97WWWY170XWW99Y207XW135WWWWWW109&sn=Luke%20Thompson%20JTO&obs=,
Saige771,Saige#6427,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z273X72WW200WY363X137WW253WW317WY332XWWWY361XWWWWW&sn=Don%20Walker%20JTO&obs=gascloud4,gascloud5,gascloud6",
Denicol,denicol#8499,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z188X127W138W101WWWY165XWW37W26WW162Y189XWW97WWWY203XWW102WWWWW&sn=Rodrigo%20Denicol%20JTO&obs=,
Sir Charles,sircharles(#2830),https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323XW2WY276X74WW201WY342XWWWWWY364XW138WWWWW&sn=Charles%20Holcomb%20JTO&obs=,
Brett,Brett#0601,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z341XW30WWWY277X72W252W201WY332XWW213W134Y315XWW&sn=Brett%20Freeman%20JTO&obs=,
Old Sarge,Old Sarge ‘02 (#2875),https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z75XW240W11WW136W105WY12XWWWW165W142Y15XY73XWWWWWW&sn=Kulbee%E2%80%99s%20Covid%20Cronies&obs=,
ExAce,ExAce#0002,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z192XWWW98WWWWY216XWWWWWWW147Y215XWW15WWWWWW&sn=One&obs=,
schdarr,schdarr#1992,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z37XW46WWW140Y40XWW249W157W94Y36XWWWWW140&sn=Darin%20Schwarze%20JTO&obs=vt49decimatordebris1,vt49decimatordebris2,gascloud6",
ampersand,assron#4296,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X116WWWWW166Y341XWWWWY322XWW2WY313XW252WW&sn=Aaron%20DePiano%20JTO&obs=,
roelbesters,roelbesters#8712,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z236X204W206W135W311Y282XWW183WWW10WWY290XW&sn=Random%20Squad&obs,
"Looryl ""Louie"" Qrygg",ootinni#1425,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z55X127WWY41XW87WW164WW92Y34XWW314WWW140W&sn=Looryl%20%22Louie%22%20Qrygg%20JTO&obs=,
CatchySlim,CatchySlim,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z215XWWWW50W76WWWY168XW12W53WW164W162Y185X60WW&sn=Andrew%20LaTourelle%20JTO&obs=coreasteroid0,coreasteroid1,core2asteroid0",
RonPon,RonPon,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z319X100W106Y314X75W6W201W166Y362XW138WW76WW69WY320X116WW&sn=Ronny%20Gjendemsj%C3%B8%20JTO&obs=gascloud2,gascloud3,gascloud5",
brittoncarr,britton#1996,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124X99WWW106WY147XW111WWWY153X116WWW53WWWWWY96X&sn=Britton%20Carr%20JTO&obs=,
SailorJoeV,SailorJoeV # 6676,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z330X240WWY339XWW225W2W236Y322XWWW234Y332XWWW&sn=Joe%20Vincent%20JTO&obs=,
Dale_C,Dale_C,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z44XW102W84WW54W108W110WY12X93W131WWW165W142Y13X125W106&sn=Dale%20Capron%20JTO&obs=,
Tony C,aureus#9055,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z273XWW200WY332X125WWWY321XWY365X122W138WWWW70W&sn=Tony%20Costanti%20JTO&obs=,
Academy Kryger,ChrisKryger#6656,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z290XWY382X319WWWY381XWWWY259XWWWWY269XW&sn=CK_Jespersen_JTO&obs=coreasteroid0,coreasteroid1,coreasteroid2",
FA-57,Gypsygambit#3671,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z219XWY215XWW28W38WWWWW147Y171XWWY166XWWWWW&sn=Jonathan%20McKinstray%20JTO&obs=,
Cropduster,pilotpaul#3492,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z175X127WWW106Y176XWWY173XW112W102WY172XWW&sn=Greg%20Paul%20JTO&obs=,
Alaedar,Alaedar#8001,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z300XWWWY380XWWW106WWY250X240WW32WWWWWY298XWWW175W206WW&sn=Aur%C3%A9lien%20Coudray%20JTO&obs=,
Jared M,FishStix#0356,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z389XWW206WW90WWWW106Y291XWW188WWW67WWY252XW195WW175WWW&sn=Random%20Squad&obs=,
Maxx,Ximatique#8020,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z283X131WWW101Y262X119WWY267XWWY381X126WWW&sn=Maxime%20Clergue%20JTO&obs=,
jagsba,jagsba#3751,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z174X128W112WWY180X132WWY166X113W12W60WWWY171XWW99&sn=JesseJTO&obs=,
Kota_Macc,Kota_Macc (#3996),https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242XW318WW182W111WY237X133WW134WY383XWWW&sn=Samuel%20Carmel%20JTO&obs=,
Fez,Jawa Leader (Andrew Symons),https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z239XWW100W206Y377XWWWWWWY380XWWWWWY299XWWW175WWWY350XW186WW&sn=Andrew%20Symons%20JTO&obs=,
warmdown,warmdown#9551,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z224X125W108Y177XWWWY183XWWWY187XWWWWWY170XWW98&sn=Patrick%20Steiche%20JTO&obs=,
ChaosHat,ChaosHat#4674,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381X126WW102W236Y289X206WW183W194WW232W240WY261X202W247&sn=Michael%20Thiel%20JTO&obs=,
Sky_Paladin,Sky_Paladin#7635,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163XW113W135W311W164WY394X74WWY190XW100WW76WY162XWW234WWW&sn=The%20Dark%20Seas%20of%20Infinity&obs=gascloud1,gascloud2,gascloud3",
Symbiode,Symbiode#8610,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242XWWWWWY283XWWW102Y243X319W202W100W182WW166Y265X202W&sn=Richard%20Hines%20JTO&obs=,
Des Darklighter,Des Darklighter#3735,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z165XWW15W26W165WY396X133WW60WWWW71W249WY212XWWW&sn=Des%20Darklighter%20JTO&obs=,
kengrory,kengrory#9880,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z63XWWW21WW110WWY80XW136W54WW3WY18XWW97WWWWW&sn=Kenny%20Turner%20JTO&obs=,
Stephan Wehr,iswehr#2390,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z92XW36WWW96WWY400XW11WWWWWY128XWWWWY92XWWWWWW&sn=Stephan%20Wehr%20JTO&obs=,
battlestarbill,battlestarbill#8097,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z180XW249WY171XWWY170X73WW101Y224XWY187XWWW97WW&sn=Tyler%20Samplonius%20JTO&obs=,
Smikies,Smikies#3144,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z85XW137WW80W5WWW108Y122XWWW105WY83XWW13WWW93WW151Y95XWW&sn=Smikies%20-%20Soontir%20Fel%20-%20JTO&obs=,
AlejandroSparano,Alejandro Sparano (Enano)#3406,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z80X115WW44W86WW110Y18X135W98WW81W41W235WWY75XWWWW135WW&sn=Alejandro%20Sparano%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
IMpintobeanz,IMpintobeanz,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z114X36WWW165WW156Y148X256W240WWWY156XWWWY111XWWWW&sn=Jason%20Pint%20JTO&obs=yt2400debris1,core2asteroid3,core2asteroid5",
Chewels,Chewels#6849,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z154X125W12W99W16W63W79W94W164W150Y139XW135Y120X125WW95WW109WY138XW&sn=Matthew%20LeClair%20JTO&obs=,
PorgAndy,andyvan#3197,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z384XW206W99WY381X116W206W99WY237X124WWW100&sn=Andy%20van%20Zanten%20-%20JTO&obs=,
Andrew,johnny_raye#1947,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378X256WW195WW164WWY347X206W232WWWWWY300XWWWY350XWW54WY348XWW&sn=Andrew%20Ferguson%20JTO&obs=,
Adjudicator,Adjudicator#3911,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284X256WWWY381X319W318WWY382X117W318WW&sn=Nathan%20Long%20JTO&obs=,
John McDermid,Arc17-26#2855,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z87XWWW85WWW91WY94XW36W247Y303X166Y125XWW92WWW160&sn=New%20Squadron&obs=,https://launch-bay-next.herokuapp.com/?lbx=%27New%20Squadron%27.189.3.0.(12.167.(16.389).(13.286)).(48.227.(8.357).(14.593)).(56.444.(14.301)).(42.219.(13.287).(15.378))
Luke Wilkie,Lu the Lunatic,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348XWW106Y245X122WWWWWWWY291XW206WW174WWWWY379XW188WWWW&sn=Luke%20Wilkie%20JTO&obs=,
Garrett,Garrett Blair#8194,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X125W100W2W93W236WW315Y378X133WW6W92W215WWY345XWW53W236Y352X206W232W134W53WW196W105&sn=Garrett%20Blair%20JTO&obs=,
DR4C0,DR4C0#7799,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z307XWWY329X240W98WWW237Y329X240W99WWWY356X127WY327XWWWWY343XWW&sn=Ben%20Doyle%20JTO&obs=coreasteroid2,coreasteroid3,coreasteroid4",
Worst Coast Child,worstcoastchild#2539,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X120W206WWY377X172WWWWWWY260XWW191WWWWW236Y389XW112WWWWW316WW&sn=Isaiah%20Brody%20JTO&obs=,
Benjamin,Scrub_Lord_27#4628,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z24X113W135W6WY63XWW138W44W19WW84WY1XWWW142&sn=Benjamin%20Capovilla%20JTO&obs=,
Chris Langland,Chris Langland#1236,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XWW102Y265XWY384XWWWY281XWW183WWWWW&sn=Chris%20Langland%20JTO&obs=,
sotoslammer,sotoslammer#5037,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z105XW13W101W36W317W93WWY132XW164WY96XY101X121W&sn=Brendan%20Desjarlais%20JTO&obs=,
Deering,Deering#2743,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z210XWW71W105Y206XWWW88WWWY215XWW29WWWWWWY190XWWWW&sn=Matthew%20Deering%20JTO&obs=,
AgentStack,7752,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z22XWW136W4WY1XWWW142Y14X75WY65X118WWW138W&sn=AgentStack%20JTO&obs=coreasteroid3,core2asteroid3,gascloud3loud3oud3",
idletauntaun,idletauntaun,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z127XW63WWWW160Y98X125W134Y157XWWWY156XW98W92W164&sn=Jared%20Schwarze%20JTO&obs=yt2400debris0,yt2400debris1,yt2400debris2",
Cal,Neuvost#4304,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324X135W101W235WW237Y310X101W208W109Y310X209W208W105Y324XW98W221WWY358X133W&sn=Cal%20Neuvost%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Ellen,ellenczes#4218,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z102XY85XW138WWW5WWW105Y156XWWWY142X206WW317WW105Y158XWWW&sn=Ellen%20Ce%20JTO&obs=,
Coroidan,Coroidan#5646,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z151XWWWY136X131WW134Y85XW137WWWWW93WY149XW111WWW&sn=Lachlan%20Moore%20JTO&obs=,
Bibi,SebastienL,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z285X119WWWWWY383XWWWY382XWWWY243XWWW182WW&sn=Bibi%20JTO&obs=,
Sebon ,Sebon00#0720,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z283XW178W135WY384XWWW165Y265XWY384XW206WW&sn=Sebon00%20Jank%20Tank&obs=,
Kris Sote,KTOFF#4119,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X120W177WW166Y270X122WWW186Y258XWW175W186W171WY350XWWWY300XWWW&sn=Kristoff%20Sotelo%20JTO&obs=,
Thomas Shaw,CompuDiver#3309,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z246X133W102W246W192WW93W108WY350XWWWY231XW195WW175W206WW&sn=Thomas%20Shaw%20JTO&obs=yt2400debris0,yt2400debris1,yt2400debris2",
dale,Dirtbag #7975,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z365X120W138WWWW68WY273X75W5W201WY340XW134WWW214W&sn=Dale%20JTO&obs=,
Brian Webb,Antilles01#0787,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z46XW69WWWW156Y66XWWWWY21XWWW4WY15X&sn=Brian%20Webb%20JTO&obs=,
Jossmabic,jossmabic,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z102X136Y152XWW101WW43WWW165W150Y93XWW164Y140XWWWWW&sn=Jossmabic&obs=,
beattie,beats#5844,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z29XWWWW164WWY25XW138WWWWWY68XWW137WY26XWWWWW70WY67XWWWW&sn=Jonathan%20Beattie%20JTO&obs=,
assimilation,BenJanssen (User#0122),"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z150XWWWWY87XWW234WWWWWY92XW43WW80WWWY119XWWWWW&sn=Ben%20Janssen%20JTO&obs=coreasteroid0,coreasteroid1,core2asteroid0",
Timo777760,Timo7777#4422,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z179XWWY203X122WWW97WW70WW165Y168XWW15WWWY213XWW&sn=Timo%20Hetzel%20JTO&obs=,
cosmic,CØSMIC#1746,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119XWW91WW165WY230X53WWW109WWY106X256W10W311WWW96WW153W&sn=David%20Welman%20JTO&obs=,
plammi,Funkstar (plammi)#3654,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259X206W100W182WW109Y284X117WW136WY283X122W186WW&sn=Plammi%20JTO&obs=,
Tox,tox1987#2791,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z248XW165Y399X106WY128XW92WWWY85XW138WW88WWW91WY159X98WW&sn=Marco%20Tocchi%20JTO&obs=,
Ashok,PerfectBroken#6261,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381XWWWY266XW206WY233XWWY385X119W206WW182WW&sn=FO%20Mugs%20JTO&obs=coreasteroid0,core2asteroid0,core2asteroid2",
Nick Smith ,NickSmudger#6608,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z384X126WW98WY262XWW106Y397XWWW182WW249Y384XW186W102W&sn=Nick%20Smith%20JTO&obs=,
MatCauthonReborn,MatCauthonReborn,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z181XWWY188XW138W99WWWY163XWWW101WWY221XY200X124WWW&sn=MatCauthonReborn%20JTO&obs=,
helpme87,helpme87#5974,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z393XW99W81W21WWWW154Y17XW97WW88WW317WW104Y13XW&sn=Helpme87%20JTO&obs=,
Quentin Keller (JTO),McLovin#8174,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167XWW14WWWY172XWWY227X122W249Y208XW311WWW69W68WY204X128WWWWWWW&sn=Quentin%20Keller%20JTO&obs=coreasteroid0,core2asteroid0,core2asteroid2",
Corrvan,Corrvan#5414,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z274X75WW201WY364X120W138WWWW316WY315XWWY342XWWWWW&sn=Brad%20Smith%20JTO&obs=,
James Carman,Kamicrzy#7960,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X112W4WY312X251W241W200WY278XWW200WY332XWWW&sn=Goldnock%20Jank%20James%20Carman&obs=gascloud1,gascloud3,gascloud6",
Mr Sunol,#2156,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383X181W206W99W166Y243X116WW99WW113W236Y382X181W178WW164&sn=Luke%20Sunol%20JTO&obs=gascloud1,gascloud2,gascloud3",
Largo12,Largo#1833,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z265X206W249Y284XW178W134WY242XWWW182W111WY264XWW&sn=Romain%20Bonnet%20JTO&obs=,
Legion three,Legionthree #1073,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z122XWWWWY110XWWWWWY111XWW96WWY84XWWWW69WWW&sn=Evan%20Claassen%20jto&obs=,
x77x,x77x#8564,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z303XY129X125WWWW95W103Y142X206WWWWY126XWW92W93W110W160&sn=Zach%20Huffines%20JTO&obs=,
blake,imyourwhiteknight,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z82XWWWWWWWY97XWY158XWWWY117XWWWWWWW&sn=Blake%20McDaniel%20JTO&obs=,
thesnailmaster,thesnailmaster,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X178WWW59W61WW108Y378X256WW312W92WWW315Y299XWWW175W206W171WY380XW6W93WWW&sn=thesnailmaster%20JTO&obs=,
Monkeyreign ,Monkeyreign#8549,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z295XW244WWW95WWY253XW190WW175W198WWY351XW198WW136WWW5W&sn=The%20Sympathy%20Smasher&obs=,
Tony (Tin Sqdn),#9738,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z203X115W134W98W99WW316WWY171X73W114W99Y226XY186X26WW106&sn=Tony%20Cameron%20JTO&obs=,
DavinFelth,DavinFelth#7446,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z145XW138WW88W69W71WW149W114W6Y304XY158XWWWY130XWWWWWY158XWWWY96X&sn=DavinFelth%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
